NAME;AUTHOR;VERSION;HARDWARE;DATE;DESCRIPTION;FILES_FOLDERS;ICON;MIN_TXVER
{"en":"DFM-Crow"};D. McQueeney and H. Curzon;1.6;674,675,676,677,678,679,680,652,653,3857,3858;Wed Dec 1 21:35:00 2021;{"en":"DFM-Crow/DFM-Crow.html"};DFM-Crow,DFM-Crow.lc;DFM.png;5.0
{"en":"DFM-SWT.lua"};D. McQueeney and H. Curzon;1;678,679,680,652,653,3857,3858;Fri Jan 27 21:30:00 2023;{"en":"DFM-SWT.html"};DFM-SWT.lua,DFM-SWT;DFM.png;5.0
{"en":"DFM-GRat.lua"};D. McQueeney and H. Curzon;0.1;678,679,680,652,653,3857,3858;Mon Apr 26 10:06:00 2027 GMT;{"en":"DFM-GRat.html"};DFM-GRat.lua,DFM-GRat;DFM.png;5.0
{"en":"DFM-Watt.lua"};D. McQueeney and H. Curzon;0.4;678,679,680,652,653,3857,3858;Thu May 13 16:27:00 2021 GMT;{"en":"DFM-Watt.html"};DFM-Watt.lua,DFM-Watt;DFM.png;5.0
{"en":"DFM-Amix"};D. McQueeney and H. Curzon;1.4;674,675,676,677,678,679,680,652,653,3857,3858;Tue Apr 19 10:17:00 2022 GMT;{"en":"DFM-Amix/DFM-Amix.html"};DFM-Amix,DFM-Amix.lc;DFM.png;5
{"en":"V-SensXF"};Jeti Model and D. McQueeney and H. Curzon;4.2;674,675,676,677,678,679,680,652,653,3857,3858;Tue Nov 22 16:45:00 2022 GMT;{"en":"V-SensXF.html"};V-SensXF.lc,V-SensXF,V-Ann.lc;DFM.png;4.28
{"en":"DFM-Batt"};D. McQueeney and H. Curzon;2.2;674,675,676,677,678,679,680,652,653,3857,3858;Tue Nov 8 10:25:00 2022;{"en":"DFM-Batt.html"};DFM-Batt.lc,DFM-Batt;DFM.png;5.0
{"en":"DFM-Dial"};D. McQueeney and H. Curzon;1.12;678,679,680,652,653,3857,3858;Mon Jan 16 10:15:00 2023 GMT;{"en":"DFM-Dial.html"};DFM-Dial.lc,DFM-Dial;DFM.png;5.0
{"en":"DFM-TimG"};;1.1;678,679,680,652,653,3857,3858;Wed Nov 2 11:00:00 2022;{"en":"DFM-TimG.html"};DFM-TimG.lua,DFM-TimG;DFM.png;
{"en":"DFM-TimV"};D. McQueeney and H. Curzon;0.4;674,675,676,677,678,679,680,652,653,3857,3858;Mon Dec 5 11:30:00 2022;{"en":"DFM-TimV.html"};DFM-TimV.lc,DFM-TimV;DFM.png;
{"en":"DFM-Temp"};D. McQueeney and H. Curzon;1.1;678,679,680,652,653,3857,3858;Fri Jan 27 21:30:00 2023;{"en":"DFM-Temp.html"};DFM-Temp,DFM-Temp.lc;DFM.png;5.0
